,City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,ibiruba,-28.63,-53.09,64.06,64.06,87,98,6.64,BR,1603530046
343,poum,-20.23,164.02,78.08,78.08,78,86,7.67,NC,1603530047
344,safranbolu,41.25,32.69,77.31,77.31,25,38,2.26,TR,1603530047
345,nishihara,26.18,127.76,72.82,73.4,49,75,13.87,JP,1603530049
346,zhengjiatun,43.51,123.51,47.23,47.23,48,0,5.44,CN,1603530049
347,rudbar,30.15,62.6,74.25,74.25,18,0,20.42,AF,1603530023
348,weston,26.1,-80.4,76.48,78.8,83,20,6.93,US,1603530051
349,port-gentil,-0.72,8.78,80.6,80.6,88,75,5.82,GA,1603530052
350,bol,13.46,14.71,86.29,86.29,39,22,16.78,TD,1603530053
351,betioky,-23.72,44.38,105.33,105.33,12,63,3.56,MG,1603530054
352,kendari,-3.94,122.5,82.98,82.98,74,97,6.51,ID,1603530054
353,makakilo city,21.35,-158.09,74.1,75.2,88,1,3.36,US,1603530055
354,saint-joseph,-21.37,55.62,76.14,80.6,54,0,25.28,RE,1603530056
355,fortuna,40.6,-124.16,50.97,53.01,87,90,3.27,US,1603529883
356,tabou,4.42,-7.35,80.1,80.1,82,89,4.61,CI,1603530057
357,chateaudun,48.08,1.33,57.2,57.2,93,90,18.34,FR,1603530058
358,wewak,-3.55,143.63,81.1,81.1,73,3,4.52,PG,1603530059
359,ignatovka,53.95,47.65,52.02,52.02,78,100,13.18,RU,1603530060
360,kincardine,56.07,-3.72,48.06,53.6,87,75,17.22,GB,1603530060
361,huron,41.15,-82.55,45.59,46.99,90,100,1.01,US,1603530061
362,buraydah,26.33,43.98,82.4,82.4,23,0,9.17,SA,1603530062
363,kupang,-10.17,123.58,87.8,87.8,62,20,11.41,ID,1603530063
364,broken hill,-31.95,141.43,60.8,60.8,51,40,20.8,AU,1603530064
365,puro,12.48,123.38,81.46,81.46,84,100,9.6,PH,1603530065
366,alyangula,-13.85,136.42,86.0,86.0,62,18,12.75,AU,1603530066
367,sao joao da barra,-21.64,-41.05,72.95,72.95,82,99,12.73,BR,1603530067
368,prince rupert,54.32,-130.32,32.0,32.0,83,1,5.82,CA,1603529985
369,samana,19.21,-69.34,76.77,76.77,90,100,3.2,DO,1603530084
370,gebre guracha,9.8,38.4,67.17,67.17,46,66,0.69,ET,1603530085
371,morro da fumaca,-28.65,-49.21,64.24,64.24,88,61,4.9,BR,1603530085
372,beringovskiy,63.05,179.32,32.41,32.41,94,99,21.77,RU,1603530086
373,sal rei,16.18,-22.92,78.8,78.8,83,40,14.99,CV,1603530087
374,sheridan,44.83,-106.92,24.58,25.0,79,90,3.83,US,1603530087
375,kokuy,52.2,117.55,34.54,34.54,84,0,1.72,RU,1603530088
376,neaua,46.48,24.83,50.0,50.0,87,71,4.7,RO,1603530088
377,udomlya,57.88,34.99,43.09,43.09,74,73,7.25,RU,1603530089
378,tupik,54.43,119.93,28.15,28.15,94,0,2.55,RU,1603530090
379,alamosa,37.47,-105.87,35.6,35.6,64,1,12.75,US,1603530091
380,cayenne,4.93,-52.33,75.2,75.2,100,0,1.12,GF,1603530092
381,alekseyevsk,57.84,108.35,34.18,34.18,90,38,1.23,RU,1603530093
382,almeria,37.17,-2.33,66.42,68.0,55,0,3.36,ES,1603530093
383,diamantino,-14.41,-56.45,72.77,72.77,90,100,4.29,BR,1603530094
384,vryburg,-26.96,24.73,94.62,94.62,14,0,3.0,ZA,1603530095
385,longyearbyen,78.22,15.64,23.0,23.0,73,75,5.82,SJ,1603530095
386,antalaha,-14.9,50.28,80.89,80.89,64,12,14.18,MG,1603530096
387,ziro,27.63,93.83,73.4,73.4,100,90,8.05,IN,1603530097
388,vangaindrano,-23.35,47.6,76.82,76.82,73,66,9.15,MG,1603530097
389,maceio,-9.67,-35.74,75.2,75.2,94,40,3.36,BR,1603530078
390,holland,42.79,-86.11,36.57,37.4,80,20,8.86,US,1603529813
391,miraflores,19.22,-98.81,53.6,53.6,40,5,5.21,MX,1603530099
392,veinticinco de mayo,-35.43,-60.17,63.0,63.0,94,23,8.01,AR,1603530100
393,olkhovatka,50.28,39.29,60.21,60.21,59,100,8.03,RU,1603530100
394,bereda,43.27,-7.54,55.0,57.0,88,95,18.01,ES,1603530101
395,mehamn,71.04,27.85,37.4,37.4,86,75,20.8,NO,1603530102
396,karratha,-20.74,116.85,78.03,78.03,54,0,19.26,AU,1603530103
397,terebovlya,49.3,25.71,61.0,61.0,75,100,9.51,UA,1603530104
398,koumac,-20.57,164.28,77.43,77.43,76,73,3.91,NC,1603530104
399,lorengau,-2.02,147.27,82.26,82.26,64,30,5.19,PG,1603530105
400,svetlogorsk,52.63,29.73,52.36,52.36,94,100,7.83,BY,1603530106
401,kidodi,-7.6,37.0,91.8,91.8,38,43,5.19,TZ,1603530106
402,innisfail,-17.53,146.03,75.4,75.4,82,13,5.17,AU,1603530107
403,ballina,-28.87,153.57,69.24,69.8,94,40,11.41,AU,1603530107
404,skjervoy,70.03,20.97,39.43,39.43,81,100,10.11,NO,1603530108
405,wakkanai,45.41,141.67,44.6,44.6,81,75,14.99,JP,1603530109
406,sistranda,63.73,8.83,35.6,35.6,74,40,9.17,NO,1603530110
407,aktau,43.65,51.2,66.2,66.2,45,0,15.66,KZ,1603530110
408,buala,-8.14,159.59,81.21,81.21,78,96,3.44,SB,1603530111
409,evanston,42.04,-87.69,36.81,39.0,80,40,5.82,US,1603529845
410,kolokani,13.57,-8.03,86.81,86.81,28,0,2.98,ML,1603530112
411,kurilsk,45.23,147.88,49.59,49.59,69,86,2.82,RU,1603530113
412,kodiak,57.79,-152.41,48.2,48.2,93,90,4.47,US,1603530113
413,outlook,51.5,-107.05,17.01,17.01,73,0,3.0,CA,1603530115
414,bumba,2.18,22.47,89.89,89.89,54,14,1.61,CD,1603530115
415,chebsara,59.2,38.84,39.2,39.2,64,40,6.71,RU,1603530117
416,palmer,42.16,-72.33,58.78,60.01,93,90,6.93,US,1603530117
417,ilulissat,69.22,-51.1,21.2,21.2,57,34,3.36,GL,1603530118
418,flin flon,54.77,-101.86,19.15,19.15,94,64,6.89,CA,1603530119
419,nuuk,64.18,-51.72,30.09,30.2,74,0,4.7,GL,1603530119
420,chino valley,34.76,-112.45,51.17,54.0,57,1,5.82,US,1603529942
421,korla,41.76,86.15,64.45,64.45,24,6,2.33,CN,1603530121
422,derbent,42.07,48.29,70.03,70.03,50,0,7.92,RU,1603530121
423,ponferrada,42.55,-6.6,50.36,53.01,90,75,1.68,ES,1603530107
424,hohhot,40.81,111.65,59.0,59.0,19,0,4.47,CN,1603530123
425,grand gaube,-20.01,57.66,79.0,79.0,59,10,10.0,MU,1603530123
426,laguna,38.42,-121.42,52.84,55.4,71,1,4.7,US,1603530124
427,arraias,-12.93,-46.94,70.43,70.43,89,100,2.06,BR,1603530125
428,okhotsk,59.38,143.3,39.79,39.79,89,100,6.4,RU,1603530125
429,vila franca do campo,37.72,-25.43,66.2,66.2,77,75,14.99,PT,1603530126
430,scarborough,54.28,-0.4,47.28,48.0,87,100,7.0,GB,1603530127
431,general pico,-35.66,-63.76,58.84,58.84,97,18,6.69,AR,1603530127
432,ibotirama,-12.19,-43.22,73.6,73.6,62,100,3.09,BR,1603530128
433,sechura,-5.56,-80.82,63.03,63.03,81,99,5.46,PE,1603530129
434,dalvik,65.97,-18.53,39.9,39.9,86,100,17.09,IS,1603530129
435,rio gallegos,-51.62,-69.22,42.8,42.8,93,90,12.75,AR,1603530089
436,kaeo,-35.1,173.78,62.01,62.01,91,9,3.33,NZ,1603530131
437,basti,26.8,82.72,88.7,88.7,28,0,9.62,IN,1603530131
438,tecolutla,20.48,-97.02,73.58,73.58,86,63,6.71,MX,1603530132
439,talaya,61.38,152.75,31.32,31.32,93,100,2.19,RU,1603530133
440,atar,20.52,-13.05,84.33,84.33,30,100,14.07,MR,1603530133
441,constitucion,-35.33,-72.42,48.94,48.94,62,0,4.7,CL,1603530134
442,marfino,55.7,37.38,52.57,54.0,71,75,13.42,RU,1603530135
443,saint-augustin,51.23,-58.65,39.4,39.4,72,98,12.97,CA,1603530136
444,udachnyy,66.42,112.4,19.4,19.4,67,0,6.71,RU,1603530137
445,magdagachi,53.45,125.8,31.08,31.08,89,0,6.08,RU,1603530137
446,keflavik,64.0,-22.56,45.16,45.16,71,100,18.21,IS,1603530138
447,ust-nera,64.57,143.2,18.07,18.07,91,91,4.23,RU,1603530139
448,salinopolis,-0.61,-47.36,78.49,78.49,83,35,9.95,BR,1603530141
449,tautira,-17.73,-149.15,75.09,75.2,83,75,4.7,PF,1603530142
450,jurado,7.11,-77.76,75.79,75.79,90,100,2.1,CO,1603530143
451,rio branco,-9.97,-67.81,75.2,75.2,100,0,3.36,BR,1603530002
452,sitka,57.05,-135.33,33.8,33.8,50,75,3.36,US,1603530145
453,puerto madryn,-42.77,-65.04,64.85,64.85,45,100,5.26,AR,1603530076
454,kumi,36.11,128.34,55.35,59.0,30,1,2.24,KR,1603529963
455,ondjiva,-17.07,15.73,80.6,80.6,34,0,4.7,AO,1603530148
456,neuquen,-38.95,-68.06,64.4,64.4,68,0,4.7,AR,1603530022
457,husavik,66.04,-17.34,39.58,39.58,89,100,29.8,IS,1603530149
458,bocas del toro,9.33,-82.25,62.01,62.01,97,91,4.45,PA,1603530151
459,perehonivka,48.54,30.52,62.56,62.56,53,79,6.6,UA,1603530152
460,ca mau,9.18,105.15,82.11,82.11,83,99,3.15,VN,1603530114
461,minsk,53.9,27.57,48.2,48.2,100,90,6.71,BY,1603530153
462,qaqortoq,60.72,-46.03,28.4,28.4,74,90,3.36,GL,1603530154
463,inhambane,-23.86,35.38,82.4,82.4,58,75,9.17,MZ,1603530154
464,jalu,29.03,21.55,74.8,74.8,50,0,10.65,LY,1603530155
465,byron bay,-28.65,153.62,67.91,69.8,94,40,11.41,AU,1603530155
466,tendukheda,23.4,79.55,88.25,88.25,31,0,2.1,IN,1603530156
467,heishan,41.69,122.11,52.5,52.5,42,0,6.06,CN,1603530157
468,mae hong son,19.3,97.97,87.8,87.8,58,75,3.36,TH,1603530061
469,bardoli,21.12,73.12,98.6,98.6,25,0,2.24,IN,1603530158
470,saint-pierre,-21.34,55.48,76.87,80.6,54,0,25.28,RE,1603530159
471,tongren,27.72,109.19,64.71,64.71,58,83,5.73,CN,1603530159
472,bakonycsernye,47.32,18.08,50.25,54.0,100,90,4.7,HU,1603530160
473,kyaikto,17.3,97.02,84.65,84.65,73,78,6.31,MM,1603530161
474,pahrump,36.21,-115.98,57.99,57.99,37,100,1.01,US,1603530161
475,chekhov,55.14,37.47,54.07,55.0,6,11,8.37,RU,1603530162
476,praya,14.92,-23.51,78.8,78.8,78,75,20.8,CV,1603530163
477,cedar lake,41.36,-87.44,40.26,42.01,79,100,7.0,US,1603530163
478,cabedelo,-6.98,-34.83,75.2,75.2,94,75,4.7,BR,1603530164
479,kawalu,-7.38,108.21,80.11,80.11,79,97,4.27,ID,1603530165
480,ola,59.58,151.28,38.61,38.61,81,100,6.29,RU,1603530165
481,abbeville,50.1,1.83,55.99,55.99,76,100,16.55,FR,1603530022
482,moose factory,51.26,-80.61,30.2,30.2,80,90,8.05,CA,1603530167
483,sibu,2.3,111.82,91.4,91.4,59,40,3.36,MY,1603530167
484,synya,65.37,58.04,27.61,27.61,88,100,5.93,RU,1603530169
485,phuket,8.0,98.25,86.07,88.0,74,20,6.93,TH,1603530170
486,neiafu,-18.65,-173.98,77.32,77.32,84,100,17.52,TO,1603530170
487,springville,40.17,-111.61,36.95,39.99,53,1,3.71,US,1603530171
488,atasu,48.68,71.64,36.48,36.48,67,23,10.0,KZ,1603530171
489,jalingo,8.88,11.37,85.24,85.24,63,11,5.93,NG,1603530172
490,garliava,54.82,23.87,50.0,50.0,93,75,5.82,LT,1603530173
491,casambalangan,18.38,122.13,81.82,81.82,82,71,11.86,PH,1603530173
492,princeville,45.77,-61.3,45.41,50.0,100,75,8.05,CA,1603530174
493,grindavik,63.84,-22.43,45.07,45.07,67,99,19.73,IS,1603530175
494,san carlos,9.66,-68.58,72.75,72.75,91,93,1.72,VE,1603530176
495,micheweni,-4.97,39.83,84.7,84.7,66,81,11.34,TZ,1603530177
496,yar-sale,66.83,70.83,20.52,20.52,97,93,4.36,RU,1603530178
497,turukhansk,65.82,87.98,12.11,12.11,96,100,9.51,RU,1603530179
498,itoman,26.12,127.67,72.73,73.4,56,75,16.11,JP,1603530179
499,sao jose da coroa grande,-8.9,-35.15,76.64,76.64,80,6,8.93,BR,1603530180
500,xining,36.62,101.77,62.82,62.82,30,15,7.02,CN,1603529968
501,kajaani,64.23,27.73,35.6,35.6,82,90,17.22,FI,1603530181
502,uyemskiy,64.47,40.85,33.8,33.8,92,90,13.42,RU,1603530182
503,pishva,35.31,51.73,68.59,69.8,26,20,4.7,IR,1603530183
504,finca corredor,8.35,-82.85,62.01,62.01,97,100,6.11,PA,1603530183
505,namibe,-15.2,12.15,73.4,73.4,83,75,9.17,AO,1603530184
506,chernyshevskiy,63.01,112.47,24.04,24.04,97,6,5.91,RU,1603530185
507,gamba,-2.65,10.0,80.83,80.83,73,100,7.78,GA,1603530185
508,roebourne,-20.78,117.13,80.76,80.76,44,0,20.36,AU,1603530186
509,marshall,34.38,-86.33,66.0,68.0,88,90,6.93,US,1603530187
510,sabang,5.89,95.32,82.92,82.92,75,39,16.75,ID,1603530188
511,uchiza,-8.46,-76.46,66.79,66.79,83,5,2.73,PE,1603530188
512,kahului,20.89,-156.47,72.84,75.2,73,1,3.36,US,1603530086
513,sibolga,1.74,98.78,84.4,84.4,66,79,4.68,ID,1603530190
514,livingston,55.9,-3.52,49.35,53.6,87,75,17.22,GB,1603530191
515,jiaojiang,28.68,121.44,64.0,64.0,55,95,8.75,CN,1603530192
516,houma,29.6,-90.72,70.12,71.01,100,75,4.7,US,1603530192
517,sobolevo,54.43,31.9,51.08,51.08,80,92,6.73,RU,1603530193
518,mountain home,43.13,-115.69,46.4,46.4,22,90,10.29,US,1603530125
519,onega,63.91,38.14,33.1,33.1,93,77,12.01,RU,1603530194
520,tanggu,39.02,117.65,66.2,66.2,20,0,6.71,CN,1603530195
521,pivijay,10.46,-74.62,75.42,77.0,100,40,8.05,CO,1603530196
522,margate,51.38,1.39,57.0,57.0,80,76,3.0,GB,1603530197
523,bousso,10.48,16.71,93.13,93.13,33,65,3.09,TD,1603530197
524,boca do acre,-8.75,-67.4,72.14,72.14,94,100,2.01,BR,1603530198
525,shu,43.6,73.76,50.5,50.5,46,53,3.22,KZ,1603530198
526,kitgum,3.28,32.89,85.75,85.75,57,13,1.45,UG,1603530199
527,herre,59.1,9.57,44.1,45.0,97,43,1.99,NO,1603530200
528,malanje,-9.54,16.34,84.52,84.52,56,100,0.74,AO,1603530200
529,moree,-29.47,149.85,68.0,68.0,82,40,12.86,AU,1603530201
530,saint george,37.1,-113.58,54.03,55.4,37,1,1.52,US,1603530163
531,nauta,-4.51,-73.58,70.45,70.45,96,78,0.72,PE,1603530202
532,berbera,10.44,45.01,89.85,89.85,40,52,10.36,SO,1603530203
533,port blair,11.67,92.75,84.16,84.16,73,48,12.44,IN,1603530036
534,naliya,23.27,68.83,88.88,88.88,36,0,9.93,IN,1603530204
535,oktyabrskoye,43.06,44.74,68.92,71.6,19,0,4.47,RU,1603530205
536,taltal,-25.4,-70.48,54.61,54.61,77,59,1.88,CL,1603530050
537,trenggalek,-8.05,111.72,82.2,82.2,71,75,6.51,ID,1603530207
538,warrington,53.39,-2.58,51.96,53.01,87,90,17.22,GB,1603530207
539,leninsk,48.71,45.2,60.03,60.8,77,0,17.9,RU,1603530209
540,yago,21.83,-105.07,77.13,77.13,91,47,1.45,MX,1603530209
541,kharan,28.58,65.42,73.94,73.94,19,0,2.55,PK,1603530073
542,sur,22.57,59.53,84.83,84.83,37,0,12.66,OM,1603530211
543,sundumbili,-29.13,31.4,80.6,80.6,65,0,10.29,ZA,1603530211
544,la macarena,2.18,-73.78,70.2,70.2,95,98,1.1,CO,1603530212
545,tondano,1.3,124.91,73.94,73.94,94,88,1.05,ID,1603530213
546,belaya gora,68.53,146.42,11.44,11.44,92,39,6.11,RU,1603530213
547,daru,-9.08,143.21,79.41,79.41,84,96,6.24,PG,1603530214
548,baie-comeau,49.22,-68.15,48.2,48.2,93,90,9.17,CA,1603530033
549,chumphon,10.33,98.83,87.8,87.8,74,75,9.17,TH,1603530215
550,ushtobe,45.25,77.98,45.59,45.59,55,100,10.42,KZ,1603530216
551,ada,43.42,-116.13,51.01,53.6,18,90,11.41,US,1603530216
552,solnechnyy,50.72,136.63,37.44,37.44,95,100,10.45,RU,1603530217
553,tokur,53.13,132.9,26.64,26.64,96,100,11.23,RU,1603530217
554,mareeba,-17.0,145.43,76.82,80.01,74,75,3.36,AU,1603530218
555,meulaboh,4.14,96.13,84.63,84.63,68,96,6.24,ID,1603530219
556,adrar,20.5,-10.07,86.23,86.23,18,34,14.34,MR,1603530219
557,dobryatino,55.51,41.32,50.23,50.23,71,100,9.78,RU,1603530220
558,road town,18.42,-64.62,82.33,82.99,81,5,13.0,VG,1603530017
559,zhuanghe,39.7,122.99,53.44,53.44,41,0,7.29,CN,1603530221
560,saint anthony,45.02,-93.22,24.8,24.8,73,1,8.05,US,1603530222
561,mercedes,-34.65,-59.43,63.75,64.0,94,18,1.99,AR,1603530223
562,hall,34.32,-83.78,60.96,62.6,93,40,1.3,US,1603530223
563,grootfontein,-19.57,18.12,91.06,91.06,12,0,16.58,NA,1603530224
564,pasni,25.26,63.47,88.23,88.23,26,0,20.49,PK,1603530225
565,ayan,56.45,138.17,41.29,41.29,92,100,22.91,RU,1603530225
566,ketchikan,55.34,-131.65,33.75,39.2,63,1,4.7,US,1603530226
567,baculin,7.45,126.58,81.63,81.63,78,100,3.49,PH,1603530226
568,coracao de jesus,-16.69,-44.37,65.68,65.68,89,100,6.33,BR,1603530243
569,zhongshu,24.52,103.77,66.16,66.16,65,58,5.17,CN,1603530244
570,lucea,18.45,-78.17,77.54,78.01,88,75,8.05,JM,1603530245
571,kainantu,-6.29,145.87,62.76,62.76,93,100,0.34,PG,1603530245
572,askarovo,53.34,58.51,35.6,35.6,100,90,13.42,RU,1603530246
573,yerbogachen,61.28,108.01,31.69,31.69,95,84,8.05,RU,1603530246
574,pathein,16.78,94.73,84.0,84.0,80,75,7.38,MM,1603530248
575,ruidoso,33.33,-105.67,36.01,39.99,61,20,5.82,US,1603530248
576,caracollo,-14.92,-70.66,44.56,44.56,63,95,1.74,PE,1603530249
577,abdulino,53.7,53.67,49.5,49.5,93,100,15.26,RU,1603530249
578,saint-sauveur-des-monts,45.9,-74.17,64.13,64.4,82,90,17.22,CA,1603530250
579,baiyin,36.56,104.21,60.8,60.8,38,0,6.71,CN,1603530251
580,tromso,69.65,18.96,35.6,35.6,89,75,26.4,NO,1603530237
581,progreso,21.28,-89.67,79.43,80.01,94,40,3.36,MX,1603530252
582,dakar,14.69,-17.44,82.4,82.4,94,40,2.24,SN,1603530145
583,phalaborwa,-23.94,31.14,77.0,77.0,65,2,4.7,ZA,1603530253
584,rio claro,-22.41,-47.56,67.21,67.21,86,100,7.11,BR,1603530056
585,alekseyevka,50.63,38.69,59.18,59.18,66,100,7.81,RU,1603530255
586,blagoyevo,63.37,47.92,30.76,30.76,98,100,5.37,RU,1603530255
587,lunsar,8.68,-12.53,80.31,80.31,84,13,1.7,SL,1603530256
588,kasama,-10.21,31.18,87.84,87.84,22,0,6.85,ZM,1603530256
589,diffa,13.32,12.61,95.32,95.32,13,9,19.73,NE,1603530257
590,camana,-16.62,-72.71,61.84,61.84,80,92,3.65,PE,1603529961
591,altamira,-3.2,-52.21,71.71,71.71,91,44,2.59,BR,1603530258
592,kruisfontein,-34.0,24.73,77.0,77.0,71,91,5.01,ZA,1603530259
593,santiago de cuba,20.02,-75.82,78.8,78.8,74,40,8.05,CU,1603530260
594,kuliyapitiya,7.47,80.04,86.0,86.0,70,40,8.05,LK,1603530260
595,estelle,29.85,-90.11,73.92,75.0,100,90,3.38,US,1603530261
596,sauda,59.65,6.35,47.52,48.0,84,93,8.01,NO,1603530262
597,challans,46.84,-1.87,59.34,60.01,93,90,13.87,FR,1603530262
598,wuda,39.5,106.71,62.8,62.8,33,24,7.63,CN,1603530263
599,bethanien,-26.5,17.16,94.95,94.95,13,0,10.54,NA,1603530264
600,sola,-13.88,167.55,80.38,80.38,82,94,17.07,VU,1603530264
601,mehran,33.12,46.16,82.4,82.4,13,0,4.7,IR,1603530265
602,karangasem,-8.45,115.62,87.8,87.8,74,40,11.41,ID,1603530266
603,stornoway,58.21,-6.39,49.57,50.0,76,40,21.92,GB,1603530267
604,miri,4.41,114.01,86.0,86.0,74,40,6.93,MY,1603530267
605,cheyenne,41.14,-104.82,19.98,21.2,79,1,12.75,US,1603530268
606,kushalgarh,23.2,74.45,89.35,89.35,21,0,7.07,IN,1603530253
607,dehloran,32.69,47.27,94.95,94.95,9,1,8.52,IR,1603530269
608,kharovsk,59.96,40.19,38.95,38.95,74,56,11.65,RU,1603530270
609,shonguy,68.75,33.15,30.2,30.2,100,75,4.29,RU,1603530271
610,mapimi,25.82,-103.85,66.04,66.04,72,11,6.24,MX,1603530271
611,chimore,-16.98,-65.13,79.52,79.52,63,100,1.95,BO,1603530272
612,turinskaya sloboda,57.62,64.39,32.16,32.16,84,100,14.36,RU,1603530273
613,gondar,12.6,37.47,73.47,73.47,45,58,4.23,ET,1603530273
614,tiznit,29.58,-9.5,67.24,67.24,51,1,2.17,MA,1603530274
615,mount gambier,-37.83,140.77,50.0,50.0,87,40,12.75,AU,1603530275
616,yaan,7.38,8.57,81.99,81.99,75,38,5.39,NG,1603530276
617,dharchula,29.85,80.53,76.46,76.46,22,0,6.62,IN,1603530276
618,sawakin,19.11,37.33,92.66,92.66,44,7,9.19,SD,1603530277
619,erzin,36.96,36.2,88.0,88.0,22,0,3.0,TR,1603530278
620,loiza,18.43,-65.88,77.95,80.6,83,1,11.25,PR,1603530278
621,fomboni,-12.28,43.74,79.93,79.93,74,3,10.56,KM,1603530279
622,weimar,50.98,11.32,57.31,60.01,84,0,3.0,DE,1603530280
623,dali,25.7,100.18,61.43,61.43,75,99,2.19,CN,1603530123
624,urengoy,65.97,78.37,17.74,17.74,95,97,8.99,RU,1603530281
625,ciudad guayana,8.35,-62.65,75.0,75.0,94,5,1.01,VE,1603530282
626,namatanai,-3.67,152.43,81.41,81.41,69,30,1.52,PG,1603530282
627,ouegoa,-20.35,164.43,77.11,77.11,75,68,9.82,NC,1603530283
628,vestmannaeyjar,63.44,-20.27,43.59,43.59,72,100,16.78,IS,1603530284
629,salaga,8.55,-0.52,83.52,83.52,66,87,4.18,GH,1603530284
630,koutiala,12.39,-5.46,85.39,85.39,30,15,2.89,ML,1603530285
631,fort smith,35.39,-94.4,47.55,48.2,66,90,9.17,US,1603530286
632,merauke,-8.47,140.33,81.34,81.34,81,47,10.31,ID,1603530287
633,porlamar,10.96,-63.85,82.4,82.4,78,90,11.41,VE,1603530288
634,san quintin,30.48,-115.95,64.71,64.71,80,100,5.26,MX,1603530289
635,bitkine,11.98,18.21,91.31,91.31,17,63,11.77,TD,1603530289
636,luwingu,-10.26,29.93,88.09,88.09,22,0,6.96,ZM,1603530290
637,chapais,49.78,-74.85,32.0,32.0,98,90,12.75,CA,1603530291
638,bud,39.45,-86.18,44.82,46.0,70,90,10.29,US,1603530292
639,parsons,37.34,-95.26,39.69,41.0,65,90,9.17,US,1603530292
640,kasur,31.12,74.45,86.0,86.0,35,0,4.7,PK,1603530222
641,dudinka,69.41,86.18,3.2,3.2,91,0,8.95,RU,1603530294
642,ausa,41.93,2.25,52.63,55.0,81,11,1.01,ES,1603530295
643,homer,59.64,-151.55,39.2,39.2,93,90,8.55,US,1603530147
644,matongo,-2.38,34.08,90.88,90.88,28,26,3.13,TZ,1603530296
645,galegos,41.56,-8.57,56.93,59.0,87,75,16.11,PT,1603530296
646,boulsa,12.67,-0.58,90.32,90.32,13,22,9.91,BF,1603530297
647,wagar,16.15,36.2,99.63,99.63,20,88,4.72,SD,1603530298
648,bara,10.37,10.73,88.27,88.27,37,81,1.95,NG,1603530298
649,stromness,58.97,-3.3,50.0,50.0,81,75,39.15,GB,1603530299
650,villa bruzual,9.33,-69.12,72.88,72.88,94,100,1.79,VE,1603530300
651,ust-ilimsk,58.0,102.66,37.62,37.62,88,100,3.11,RU,1603530300
652,pemba,-12.97,40.52,84.2,84.2,66,40,13.87,MZ,1603530301
653,aripuana,-9.17,-60.63,71.11,71.11,98,59,0.2,BR,1603530302
654,majene,-3.54,118.97,83.34,83.34,77,89,7.81,ID,1603530303
655,elko,41.0,-115.5,37.65,43.0,30,1,3.36,US,1603530304
656,codajas,-3.84,-62.06,73.11,73.11,98,100,2.24,BR,1603530304
657,vieques,18.43,-65.83,78.98,80.6,83,1,12.35,PR,1603530305
658,rovinj,45.08,13.64,64.27,64.4,88,75,4.7,HR,1603530306
659,northam,51.03,-4.22,55.33,55.99,96,100,13.0,GB,1603530306
660,cosala,24.41,-106.69,77.0,77.0,93,0,3.27,MX,1603530307
661,lisakovsk,52.54,62.49,37.44,37.44,80,100,21.83,KZ,1603530307
662,kailua,21.4,-157.74,74.44,75.2,100,20,7.38,US,1603530309
663,westport,41.14,-73.36,60.89,62.01,98,98,5.19,US,1603530310
664,springbok,-29.66,17.89,77.0,77.0,11,0,4.7,ZA,1603530311
665,mantua,45.17,10.78,57.0,57.0,97,63,1.99,IT,1603530312
666,oranjestad,12.52,-70.03,82.4,82.4,83,40,18.34,AW,1603530312
667,chicama,-7.84,-79.15,61.74,61.74,84,87,3.09,PE,1603530313
668,sangmelima,2.93,11.98,73.13,73.13,87,100,1.97,CM,1603530314
669,verkhnevilyuysk,63.45,120.32,21.54,21.54,95,29,3.91,RU,1603530314
670,arlit,18.74,7.39,89.6,89.6,11,0,13.98,NE,1603530315
671,soure,-0.72,-48.52,78.66,78.66,83,12,9.17,BR,1603530315
672,cockburn town,21.46,-71.14,82.69,82.69,83,100,16.91,TC,1603530317
673,pauini,-7.71,-66.98,72.55,72.55,97,100,2.08,BR,1603530317
674,ilebo,-4.32,20.58,80.4,80.4,75,98,2.64,CD,1603530318
675,krasnoyarka,55.33,73.12,24.8,24.8,68,75,8.95,RU,1603530319
676,nioro,13.35,-15.75,82.35,82.35,66,88,3.24,GM,1603530319
677,ugoofaaru,5.67,73.0,82.0,82.0,77,93,12.06,MV,1603530320
678,nizhniy odes,63.64,54.86,25.77,25.77,97,100,10.54,RU,1603530321
679,kingman,35.19,-114.05,59.0,59.0,38,1,4.07,US,1603530321
680,somanda,-3.37,33.95,88.9,88.9,28,4,2.95,TZ,1603530322
681,zhigansk,66.77,123.37,14.29,14.29,93,0,16.64,RU,1603530323
682,bauchi,10.5,10.0,88.68,88.68,19,58,6.64,NG,1603530324
683,makasar,-5.14,119.42,84.2,84.2,83,20,8.05,ID,1603530324
684,winnemucca,40.97,-117.74,37.4,37.4,29,1,4.7,US,1603530325
685,yeniseysk,58.45,92.17,34.86,34.86,83,92,5.14,RU,1603530326
686,rawson,-43.3,-65.1,62.31,62.31,53,100,5.68,AR,1603530327
687,mitu,1.2,-70.17,69.66,69.66,98,100,0.4,CO,1603530328
688,waverly,42.74,-84.62,34.18,35.01,86,1,5.82,US,1603530328
689,ishigaki,24.34,124.16,73.4,73.4,69,75,19.46,JP,1603530329
690,sergeyevka,53.88,67.42,36.12,36.12,73,100,16.06,KZ,1603530330
691,togur,58.36,82.83,32.13,32.13,95,100,7.16,RU,1603530330
692,nanakuli,21.39,-158.15,73.98,75.2,88,1,3.36,US,1603530331
